Date,Open,High,Low,Close,Adj Close,Volume
01-11-2015,4470,4790,4425.200195,4555,4245.969238,24491645
01-12-2015,4609,4702,4406.049805,4621.950195,4308.377441,11129376
01-01-2016,4621,4668,3870,4095.850098,3817.969482,15890302
01-02-2016,4100.899902,4119,3193.25,3236.5,3016.922119,21176681
01-03-2016,3200.899902,3777.800049,3200.899902,3716.300049,3464.170166,17101559
01-04-2016,3700.449951,3932.75,3418.5,3794.649902,3537.204346,22614210
01-05-2016,3799.899902,4180,3751.600098,4161.600098,3879.259033,16442894
01-06-2016,4170.700195,4235,3866.600098,4187.200195,3903.12207,13500622
01-07-2016,4188.600098,4824,4125,4757.600098,4434.823242,13166479
01-08-2016,4798.950195,5103.899902,4772.25,5053.649902,4710.788574,15033481
01-09-2016,5074,5634.100098,5019.299805,5477.299805,5141.204102,14057489
01-10-2016,5661,5948,5574.600098,5876.149902,5515.57959,9628696
01-11-2016,5919,5974,4765.299805,5266,4942.870117,20804104
01-12-2016,5266,5377.899902,5035.049805,5319.549805,4993.133301,13016816
01-01-2017,5320.049805,5939,5267.799805,5894.25,5532.569336,10702685
01-02-2017,5900,6233.899902,5842.200195,5922.5,5559.085938,9241170
01-03-2017,5960,6226.799805,5800,6015.700195,5646.566895,11337637
01-04-2017,6095,6589.799805,6021,6524.850098,6124.475586,9235144
01-05-2017,6524.850098,7248,6524.850098,7211,6768.521484,9660749
01-06-2017,7242,7480.899902,7085.049805,7217.600098,6774.716797,10219606
01-07-2017,7238.899902,7765,6700,7750.049805,7274.494629,8255403
01-08-2017,7759.899902,7920,7380,7700.299805,7227.797363,8657533
01-09-2017,7747.5,8200,7651,7978.200195,7563.55127,8406387
01-10-2017,7978.200195,8279,7690,8211.25,7784.48877,8808690
01-11-2017,8251,8696,8080,8599.099609,8152.181641,7574999
01-12-2017,8660,9996.400391,8450.049805,9729.549805,9223.87793,12825209
01-01-2018,9749,9789,9250,9509.700195,9015.455078,12245555
01-02-2018,9545,9563.700195,8601.5,8850.950195,8390.942383,10882897
